date,vendor,amount,department,category,payment_method,invoice_no,notes
2025-01-14,HubSpot Enterprise,75407.37,Infrastructure,Software,Bank Transfer,HSP-20250164,type=high_spend; variance_band=v1
2025-01-27,BluePeak Systems,7861.17,,,Bank Transfer,DUP-20250039,type=duplicate; pair=039; copy=1
2025-01-27,Summit Rare Vendor 057,28283.70,Design,Other,Credit Card,RVR-20250056,type=rare_vendor; first_seen=true
2025-01-04,Freshworks,16331.47,Marketing,Travel,UPI,NOR-20250390,type=normal; cycle=quarterly
2025-01-06,Urban Company,4600.91,Product,Equipment,UPI,NOR-20251223,type=normal; cycle=quarterly
2025-01-27,Oracle Cloud,205442.15,Marketing,Equipment,Credit Card,HSP-20250156,type=high_spend; variance_band=v3
2025-01-08,Northstar Consulting,28303.22,Design,,Credit Card,DUP-20250079,type=duplicate; pair=079; copy=1
2025-01-17,Meta Ads,211014.56,Engineering,Equipment,Bank Transfer,HSP-20250012,type=high_spend; variance_band=v3
2025-01-23,ICICI Bank Charges,4588.01,Operations,Other,Credit Card,NOR-20250968,type=normal; cycle=quarterly
2025-01-14,Slack Technologies,6028.06,Product,Equipment,UPI,NOR-20250453,type=normal; cycle=adhoc
2025-01-25,Employee Reimbursement - Arjun Patel,8969.83,Marketing,,Reimbursement,REB-20250059,type=reimbursement; claimant=Arjun Patel
2025-01-28,Postman,23177.39,Operations,,UPI,NOR-20250371,type=normal; cycle=adhoc
2025-01-02,Summit Rare Vendor 056,8551.01,HR & Admin,Software,Bank Transfer,RVR-20250055,type=rare_vendor; first_seen=true
2025-01-28,Ola Corporate,28962.32,,,UPI,NOR-20250167,type=normal; cycle=quarterly
2025-01-18,Vertex Analytics,78984.31,,,Bank Transfer,DUP-20250022,type=duplicate; pair=022; copy=1
2025-01-30,AWS Enterprise Support,115462.13,Infrastructure,Equipment,Credit Card,HSP-20250093,type=high_spend; variance_band=v2
2025-01-19,Freshworks,9174.51,Sales,Office,Credit Card,NOR-20250666,type=normal; cycle=adhoc
2025-01-30,Apex Services,60570.66,,Vendors,Bank Transfer,DUP-20250047,type=duplicate; pair=047; copy=2
2025-01-19,IndiaMART,19063.18,,Travel,UPI,NOR-20250351,type=normal; cycle=adhoc
